Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients
Милбургер `Конопляшка с шайбочкой из свинины с белыми грибами`,197.3 кКал,9.1 г,15.6 г,5.7 г,"Конопляшки ""Алька"": 50 г, Помидор (томат), грунтовый: 80 г, Майонез,19% жирности, безсолевой, низкокалорийный или диетический: 20 г, Базилик, свежий: 2 г, Огурец грунтовый: 40 г, Шайбочки из свиной шейки с белыми грибами, с сыром моцарелла, с Адыгейской солью: 70 г"
Салат с карамелизованной грушей и сыром с голубой плесенью,105.4 кКал,3.4 г,6.6 г,7.1 г,"Айсберг (салат кочанный): 100 г, Сыр голубой с плесенью, м.д.ж. 50% в сух. в-ве: 50 г, Помидор (томат), грунтовый: 100 г, Авокадо: 50 г, Карамелизованная груша: 120 г"
"Говядина, вырезка тушеная с луком и ческоком",230.1 кКал,24.5 г,12.5 г,3.1 г,"Говядина, вырезка, постное мясо, сырая: 400 г, Соль поваренная пищевая: 5 г, Оливковое масло: 20 г, Лук-шалот, сырой: 70 г, Чеснок (Тушение): 7 г"
Базиликово-чесночная заправка для салата,161.1 кКал,3.7 г,12.1 г,9.3 г,"Чеснок: 150 г, Базилик, свежий: 300 г, Оливковое масло: 60 г, Соль поваренная пищевая: 6 г"
Баклажаны жареные бутербродом с чесноком и помидором,175.2 кКал,1.3 г,17.1 г,4.2 г,"Баклажан (Жарка): 100 г, Подсолнечное масло: 40 г, Сметана 15% жирности: 40 г, Чеснок: 10 г, Помидор (томат), парниковый: 100 г, Соль поваренная пищевая: 2 г"
Десерт `второй шанс`,212.8 кКал,6.8 г,18.8 г,3.9 г,"НедоМеренговый рулет: 63 г, Сливки 20% жирности, пастеризованные: 80 г, Ванильный экстракт, искуственный: 1 г, Голубика: 50 г, Кремчиз (нутриент): 120 г, Шоколад горький: 1 г"
Вермишель на курином бульоне,117.2 кКал,4.6 г,3.5 г,16.6 г,"Картофель (Варка без слива): 150 г, Бульон куриный: 840 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 20 г, Лук репчатый (Жарка): 45 г, Морковь (Жарка): 30 г, Макароны из муки высшего сорта, яичные (Варка со сливом): 180 г, Куркума, молотая: 0.2 г, Паприка, перец сладкий молотый: 0.2 г, Руккола: 9 г, Базилик, свежий: 1 г, Сметана 15% жирности: 30 г, Соль поваренная пищевая: 9 г"
"Кофе с маком, морской капустой, уксусом",52.8 кКал,1.1 г,4.6 г,1.5 г,"Кофе жареный в зернах: 7 г, Морская капуста (ламинария) сушеная (Варка без слива): 1.5 г, Вода: 260 г, Сметана 40% жирности: 20 г, Мак, семя: 10 г, Уксус винный, красный: 3 г"
"Корейка тушеная с кабачком, баклажаном, луком, перцем, зеленью",198.3 кКал,6 г,18.2 г,2.6 г,"Свинина, корейка мякоть (Тушение): 860 г, Баклажан (Тушение): 300 г, Лук репчатый (Тушение): 130 г, Перец сладкий красный (Тушение): 180 г, Оливковое масло: 80 г, Кабачок (Тушение): 400 г, Вода: 300 г, Зелень (укроп,петрушка,лук перо): 120 г"
Запеканка творожная с овсяной манкой,147.6 кКал,15.3 г,7.4 г,4.6 г,"Овсяная манка: 40 г, Яйцо куриное (Запекание): 174 г, Творог рассыпчатый 2%: 540 г, Сметана 25% жирности (Запекание): 80 г, Соль поваренная пищевая: 2 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 10 г"
Тыквенный суп,29.5 кКал,4 г,0.6 г,2.1 г,"Тыква (Варка без слива): 715 г, Морковь (Варка без слива): 60 г, Сыр плавленый Орбита: 90 г, Вода, бутилированная, в общем: 1771 г, Куриная грудка (филе) (Варка): 156 г"
"Суп на курином бульоне со сладким зелёным  перцем, рисом и картофелем",68.7 кКал,3.1 г,2.1 г,9.2 г,"Бульон куриный: 1562 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 17 г, Лук репчатый (Жарка): 60 г, Морковь (Жарка): 21 г, Помидор (томат), парниковый (Тушение): 111 г, Чеснок (Жарка): 3 г, Картофель (Варка без слива): 200 г, Рис белый, крупа рисовая (Варка без слива рассыпчатая): 60 г, Соль поваренная пищевая: 12 г, Сахар песок: 9 г, Перец сладкий зеленый (Жарка): 44 г, Паприка, перец сладкий молотый: 0.5 г, Куркума, молотая: 0.5 г, Лавровый лист: 1 г, Перец черный,  молотый или горошек: 0.5 г"
Классическое овсяное печенье,531.3 кКал,10 г,33.9 г,46.5 г,"Сахар песок: 50 г, Яйцо куриное: 107 г, Соль поваренная пищевая: 2 г, Сода пищевая, разрыхлитель для выпечки: 5 г, Пшеничная мука, высшего сорта: 30 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 150 г, Овсяные хлопья ""геркулес"": 214 г"
